pdbid,compound,SMILES,series,Kd,unit,pdbid,ligid
4EK4,CS1,Brc1ccc(cc1)C(=O)Nc1n[nH]c(c1)C CS1,1,33200.0,nM,4EK4,1CK
4EK5,CS3,O=C(Nc1n[nH]c(c1)C1CC1)c1ccc(cc1)C(=O)N CS3,1,808.0,nM,4EK5,03K
4FKG,CS4,O=C(Nc1n[nH]c(c1)C1CC1)c1ccc(cc1)C(=O)[O-] CS4,1,21200.0,nM,4FKG,4CK
4FKI,CS9,FC(F)(F)Oc1ccc(cc1)CC(=O)Nc1n[nH]c(c1)C1CC1 CS9,1,58300.0,nM,4FKI,09K
4FKJ,CS11,O(CC[NH+]1CCCC1)c1ccc(cc1)CC(=O)Nc1[nH]nc(c1)C1CC1 CS11,1,280.0,nM,4FKJ,11K
3SW4,CS18,s1c(-c2nc(ncc2)Nc2ccc(N(C)C)cc2)c(nc1N)C CS18,2,961.0,nM,3SW4,18K
3SW7,CS19,s1c(-c2nc(ncc2)Nc2cc([N+](=O)[O-])c(N(C)C)cc2)c(nc1C)C CS19,2,229.0,nM,3SW7,19K
4FKO,CS20,Clc1cc(Nc2nc(ccn2)-c2sc(nc2C)C)ccc1N(C)C CS20,2,777.0,nM,4FKO,20K
4FKP,CS241,S(=O)(=O)(NC(N)=N)c1ccc(N\C=C/2\c3c(NC\2=O)cccc3)cc1 CS241,3,287.0,nM,4FKP,LS5
4FKQ,CS242,S(=O)(=O)(N)c1ccc(N\N=C/2\c3c(NC\2=O)ccc2[nH]nnc23)cc1 CS242,3,528.0,nM,4FKQ,42K
4FKR,CS245,s1c2c\3c(NC(=O)/C/3=C\Nc3cc4c(CS(=O)(=O)C4)cc3)ccc2nc1 CS245,3,229.0,nM,4FKR,45K
4FKS,CS246,s1c2c\3c(NC(=O)/C/3=C\Nc3ccc(S(=O)([O-])=NC(=O)C)cc3)ccc2nc1 CS246,3,526.0,nM,4FKS,46K
4FKT,CS248,S(=O)(=O)(NCC[NH+](C)C)c1ccc(N\C=C/2\c3c(NC\2=O)cccc3)cc1 CS248,3,1060.0,nM,4FKT,48K
4FKU,CS260,O=C(/C1=N\NC2=CC=C(S(=O)(N)=O)C=C2)NC3=C1C=C(C(O)=O)C=C3 CS260,3,98.6,nM,4FKU,60K
4FKV,CS261,O=C(/C1=N\NC2=CC=C(S(=O)(N)=O)C=C2)NC3=C1C=C(C(NCCC4=CNC=N4)=O)C=C3 CS261,3,251.0,nM,4FKV,61K
4FKW,CS262,O=C(/C1=N\NC2=CC=C(S(=O)(N)=O)C=C2)NC3=C1C=C(C(OCC(C)C)=O)C=C3 CS262,3,47.3,nM,4FKW,62K
